key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2209718
monotonic_ns	package_uj	core_uj	sample_cost_ns
503330940050731	62441677663	7936163970	1260000
503330988979669	62442589664	7936294624	130403
503331039194156	62443704429	7936516292	323340
503331089046207	62444544336	7936571496	221190
503331139013875	62445203970	7936582558	187570
503331189095155	62445932478	7936610251	255530
503331239038985	62446587687	7936619360	209706
503331289031331	62447404463	7936663776	123065
503331339037854	62448483982	7936869347	207924
503331389141881	62449255198	7936899894	169278
503331439025520	62449914893	7936911826	195870
503331496067185	62450617722	7936946660	9082335
503331539025881	62451461047	7936977694	166656
503331588967452	62452437345	7937130045	152010
503331639020183	62453540392	7937326309	202890
503331688930696	62454307198	7937342147	71795
503331738957286	62455002261	7937371839	95083
503331788966956	62455654998	7937380689	139425
503331838983434	62456359902	7937406780	124467
503331888980079	62457392976	7937589311	166036
503331939033471	62458422143	7937776176	173074
503331988990889	62459219313	7937803778	142428
503332039026861	62459921211	7937809881	202069
503332089058036	62460613192	7937834751	228911
503332138994860	62461285917	7937844608	174987
503332189027067	62462179136	7937916473	197944
503332238978438	62463141290	7938069252	115587
503332288958924	62463894104	7938101400	96144
503332338980348	62464555829	7938113088	152070
503332389202499	62465253836	7938136860	114455
503332439045572	62465958298	7938155078	217317
503332488977050	62466811571	7938245009	146584
503332541060975	62467844309	7938392981	1071028
503332588953258	62468709819	7938415105	88996
503332639024928	62469408636	7938445285	170243
503332688964001	62470066240	7938453921	133879
503332738997165	62470871542	7938524337	171294
503332789024573	62471960475	7938741321	195633
503332838992420	62472907768	7938882762	140858
503332889015482	62473656448	7938892863	189026
503332940096045	62474319728	7938901042	1153765
503332989044988	62475013555	7938923562	215997
503333039015637	62475780315	7938966651	180856
503333089019977	62476908889	7939185786	191188
503333139029474	62477789458	7939291616	201200
503333188968246	62478517204	7939319218	118972
503333239016529	62479198123	7939328861	196895
503333288964401	62479899411	7939351458	104425
503333338998086	62480619451	7939374635	294441
503333392889812	62481707530	7939527382	212974
503333439034840	62482512648	7939600270	206527
503333488998382	62483190195	7939607746	185822
503333539036192	62483882695	7939632022	206817
503333589043999	62484576446	7939637210	195555
503333638982930	62485649831	7939776805	132068
503333688972652	62486750466	7939994033	154386
503333738969423	62487640160	7940086695	120976
503333789040763	62488331073	7940100503	214458
503333838983158	62489026136	7940127083	126461
503333888996318	62489687097	7940137519	186764
503333949233048	62490443879	7940180471	10422879
503333988975281	62491460306	7940311949	157429
503334039030222	62492283200	7940372050	204116
503334088984061	62493042850	7940399392	149500
503334138984886	62493709137	7940404290	174309
503334189013485	62494392924	7940422874	188797
503334238974933	62495304589	7940540361	154786
503334289353291	62496431225	7940758520	171746
503334339036325	62497196993	7940787464	212465
503334388999044	62497871748	7940800815	140669
503334439039147	62498576118	7940819689	197227
503334488963470	62499229344	7940824465	130266
503334538997656	62500211394	7940968241	166140
503334589039229	62501320376	7941194548	205719
503334638976750	62502134070	7941224408	112276
503334689033706	62502943370	7941245906	176704
503334739015110	62503629080	7941267023	171568
503334789017720	62504312669	7941275629	170146
503334838982754	62505109472	7941328742	114369
503334888964729	62506131193	7941522610	94504
503334943883016	62506849494	7941668507	92292
503334988956273	62507472631	7941822613	81929
503335038954087	62508048788	7941885216	97829
503335090691625	62508729066	7942029359	1839975
503335139328623	62509351745	7942158686	214709
503335189101115	62509970640	7942290225	181659
503335239029395	62510543990	7942449152	200533
503335288974846	62510896343	7942469064	125512
503335339201006	62511313909	7942529836	112636
503335388964146	62511923054	7942739008	109132
503335438984097	62512204594	7942756525	194866
503335488971429	62512452445	7942771828	98970
503335538987375	62512816120	7942821814	445479
503335589017902	62513166550	7942892946	188189
503335638950993	62513709308	7942977003	92272
503335689087662	62514107771	7943115500	170367
503335738977660	62514570424	7943189028	137588
503335788964206	62515048823	7943257918	112647
503335838961135	62515449254	7943388694	96848
503335888873291	62515693824	7943391807	53745
503335938941887	62515925014	7943394095	116331
503335988988086	62516405778	7943663277	180861
503336038954187	62516664386	7943679618	88467
503336088928107	62516892890	7943681800	107371
503336138932865	62517129770	7943684028	107310
503336189079427	62517331511	7943685294	219077
503336239070128	62517543048	7943686744	206762
503336289066927	62517749931	7943687263	196139
503336339095223	62517947400	7943687491	218156
503336389065319	62518159395	7943687690	197941
503336439057122	62518357230	7943687827	194997
503336489061940	62518555188	7943688132	206983
503336539040927	62518757829	7943694296	209486
footer_sample_count	641
footer_unreadable_count	0
footer_achieved_period_ns	50000302
footer_first_monotonic_ns	503304538847482
footer_last_monotonic_ns	503336539040927
